Designator,Mid X,Mid Y,Rotation,Layer
C1,143.62,-96.65,0.0,top
C10,129.91,-82.79,0.0,top
C11,132.53,-85.41,0.0,top
C12,132.255,-84.3,0.0,top
C13,134.12,-85.37,0.0,top
C14,135.615,-85.37,0.0,top
C18,141.74,-95.06,270.0,top
C19,136.44,-93.855,270.0,top
C1X1,133.17,-91.9,0.0,top
C2,143.61,-95.76,0.0,top
C2X1,136.69,-91.9,0.0,top
C3,143.63,-94.92,0.0,top
C3X1,132.72,-94.87,270.0,top
C4,142.345,-89.21,180.0,top
C4X1,134.82,-94.86,270.0,top
C5,142.3,-88.37,180.0,top
C5(1UF)1,130.5,-99.85,270.0,top
C6,142.285,-87.52,180.0,top
C6(100NF)1,128.265,-96.305,270.0,top
C9,128.65,-89.05,0.0,top
D1,143.93,-87.33,180.0,top
D2,137.45,-106.995,270.0,top
F1,143.7825,-99.2225,180.0,top
J1,134.62,-112.775,0.0,top
J10,136.6,-88.7,180.0,top
J11,126.99,-109.78,270.0,top
J12,142.77,-109.78,270.0,top
J2,136.16,-98.76,0.0,top
Q1,142.3125,-100.72,270.0,top
R1,133.85,-106.9275,90.0,top
R1(10K)1,130.515,-96.325,90.0,top
R2,135.35,-106.8625,90.0,top
R2(100R)1,143.37,-83.8875,270.0,top
R3,132.94,-106.9425,90.0,top
R4,136.64,-106.9125,90.0,top
R5,142.9875,-97.8725,180.0,top
R6,143.585,-88.6825,90.0,top
SW1,128.435,-92.405,180.0,top
SW2,139.32,-84.1,180.0,top
U1,139.21,-94.64,180.0,top
U2,142.8125,-91.77,270.0,top
U3,128.28,-85.91,0.0,top
U4,134.64,-83.52,90.0,top
U5,134.42,-68.47,0.0,top
